Heart Rate (BPM),Blood Oxygen Level (%),Step Count,Sleep Duration (hours),Activity Level,Fit
72.33,100.0,8993,6.14,1,0
59.21,98.69,1384,6.42,1,0
63.48,95.51,1526,2.88,1,1
99.65,95.6,6963,6.53,1,1
77.07,98.44,2336,4.91,1,0
70.55,99.79,2738,7.05,0,0
70.46,99.92,5178,6.7,2,0
75.03,97.13,9720,7.62,0,0
85.84,93.8,4828,7.64,2,1
77.91,98.01,15672,9.08,0,1
61.15,98.67,9821,6.31,1,1
70.59,97.47,4977,3.44,2,1
77.35,97.4,11875,7.24,0,1
74.53,98.96,2662,6.25,0,1
68.76,97.28,4605,5.79,1,0
67.39,100.0,12144,6.9,1,0
81.53,97.62,12477,4.92,1,1
89.84,92.91,12089,6.13,1,1
77.94,99.07,8028,6.61,0,0
43.86,99.27,3686,6.31,0,1
68.85,96.23,3376,7.74,2,1
74.13,100.0,2566,5.72,1,1
69.06,97.63,19215,5.74,0,0
84.22,100.0,6922,6.1,1,1
72.77,95.94,8826,7.42,0,1
73.66,97.17,1424,7.45,2,0
40.0,100.0,1137,5.98,2,1
58.85,100.0,1211,5.77,0,1
75.21,99.48,11559,6.47,2,1
78.54,100.0,20171,7.21,1,0
65.8,99.88,16218,5.06,2,0
67.87,98.66,3182,7.16,1,1
67.4,97.39,12283,4.27,0,0
59.17,95.52,11717,5.38,1,1
80.05,99.91,1692,5.83,1,0
67.25,97.8,19571,5.07,2,0
50.02,96.29,9426,7.91,1,1
80.07,100.0,5052,5.32,0,1
57.18,97.69,3495,4.77,2,0
64.43,99.14,7373,6.48,1,0
90.7,97.95,4481,6.45,0,1
75.21,97.27,3276,9.73,1,0
68.72,100.0,2992,5.49,2,0
86.26,98.54,1203,3.09,0,0
72.48,95.5,5276,4.27,0,1
93.45,98.73,5135,3.83,0,0
68.81,99.27,6254,7.13,0,1
75.25,98.58,17249,6.83,0,0
89.47,98.12,9485,8.19,1,0
62.89,100.0,7208,7.6,2,0
60.69,100.0,2924,4.29,2,0
89.49,98.01,2689,5.74,0,1
91.06,98.63,12827,8.58,2,0
90.58,95.25,2963,5.68,2,0
86.87,98.06,7001,8.16,1,0
81.7,99.0,5391,6.69,1,0
81.47,95.95,2135,7.67,1,0
77.0,96.91,2820,5.19,2,1
83.43,97.03,20076,7.64,0,1
74.37,96.75,2817,5.54,0,0
75.21,100.0,10727,6.85,2,0
88.76,97.67,13826,6.46,2,0
91.44,97.03,7615,7.75,0,0
74.13,97.31,9683,3.85,2,1
96.87,98.09,3984,5.28,1,1
94.06,98.41,5896,5.55,0,0
59.54,95.9,1235,7.54,0,1
75.21,98.71,4977,5.76,2,1
47.01,95.78,8609,4.87,0,1
69.21,100.0,6459,4.45,2,0
80.34,96.93,1026,7.59,2,0
76.04,96.88,19440,8.08,0,1
81.64,100.0,1776,4.57,1,1
64.46,97.05,14562,5.83,0,1
74.71,97.89,2175,4.75,2,1
66.15,97.52,5806,5.12,2,0
79.24,97.41,10664,6.16,1,0
95.85,95.06,2952,6.45,0,1
74.15,96.55,5670,4.18,2,0
54.43,98.7,4189,5.89,2,0
77.94,99.09,9995,6.65,2,0
85.58,95.73,4559,7.2,2,1
61.23,96.69,5857,3.44,1,0
93.63,97.84,13075,5.78,2,1
66.05,98.16,8396,3.42,2,1
63.6,98.77,5248,5.74,1,0
48.29,100.0,4330,5.85,0,0
63.99,99.96,1445,6.94,2,1
82.7,94.84,2269,7.48,1,0
87.01,98.94,6608,5.38,0,0
92.41,100.0,12318,7.66,2,1
56.48,96.7,12534,6.7,0,1
98.3,99.39,12389,6.09,1,1
77.33,96.24,3574,6.71,1,1
83.65,99.25,17140,5.23,0,1
60.77,99.53,4409,6.54,1,1
89.77,98.84,14351,5.89,0,0
79.03,99.45,4913,8.29,0,1
68.54,100.0,17898,6.69,2,1
73.68,96.85,2119,8.0,0,1
91.28,92.94,18580,4.97,1,0
107.25,98.54,1789,5.83,2,0
76.83,100.0,2472,4.13,0,1
73.86,98.03,4597,4.81,1,1
70.05,96.58,17870,4.47,2,0
75.21,99.44,15201,5.51,1,1
105.89,97.82,9650,8.73,1,1
68.91,96.87,7537,7.57,2,0
52.16,98.12,1600,6.99,2,1
72.67,99.68,6446,9.75,2,0
80.35,97.78,1113,3.81,2,1
71.88,97.67,4219,6.4,1,0
74.27,97.91,4333,9.55,0,1
81.38,98.41,12618,5.26,1,1
87.28,98.39,2704,7.73,2,0
75.21,100.0,14546,7.75,2,0
74.92,99.16,4663,6.21,2,1
55.22,100.0,1995,7.97,2,0
87.21,98.44,5266,6.7,2,0
87.32,100.0,1032,7.38,0,1
75.21,97.12,3777,5.92,0,0
76.73,97.0,5080,8.77,1,0
67.79,100.0,1822,6.6,0,1
97.46,99.81,1551,6.93,0,0
40.74,96.73,6165,5.53,1,0
80.52,95.94,1565,6.74,2,1
45.75,97.36,14739,7.8,2,0
81.75,99.85,6480,8.62,2,0
113.81,93.65,5690,4.91,1,1
95.41,100.0,4917,5.26,0,1
75.21,99.42,1697,4.66,0,1
84.54,96.99,2712,6.26,0,0
71.0,96.19,10479,6.59,2,1
61.4,99.08,10615,5.8,1,1
80.62,99.54,2361,4.67,0,0
68.75,94.43,2388,8.09,0,1
77.52,97.11,4954,6.73,0,1
88.92,99.24,3486,5.68,0,1
84.68,98.5,6293,6.5,1,1
93.33,100.0,1684,3.93,1,0
80.93,98.39,4114,7.48,1,0
85.49,99.06,1838,3.74,2,1
81.04,96.33,13643,7.2,2,1
75.24,99.45,2887,7.16,2,1
87.56,95.39,15293,8.57,1,1
99.14,95.95,2762,5.0,1,0
87.82,96.46,1384,6.06,0,1
75.21,100.0,6016,6.4,1,0
72.49,97.29,5669,7.8,0,1
73.05,98.9,6753,7.15,2,0
89.21,99.12,2518,7.28,2,0
67.11,99.06,2699,8.33,1,0
59.63,95.98,1897,6.17,1,1
82.03,98.74,18456,8.69,0,1
75.32,96.06,8041,6.37,0,0
41.15,100.0,1511,5.76,0,1
78.12,97.5,7584,7.39,2,0
68.94,97.61,10067,8.24,0,0
87.15,100.0,2934,4.88,2,0
70.8,99.68,1201,7.92,0,1
89.04,98.72,6611,9.56,1,1
94.18,99.18,5999,6.1,2,1
73.53,95.53,1411,6.94,0,0
73.82,96.66,2131,6.27,0,0
94.06,97.52,6863,7.49,1,0
92.38,98.23,6655,3.23,1,1
90.47,100.0,5663,4.38,0,1
68.96,96.82,10231,7.5,0,1
65.12,100.0,11798,6.54,1,1
99.55,99.14,2265,3.49,2,1
84.15,94.98,1200,5.55,1,0
73.4,100.0,2312,5.77,1,1
76.27,97.81,20661,7.9,1,0
73.42,96.73,1032,8.38,2,0
70.62,97.07,14769,3.14,2,0
93.46,99.18,1591,6.32,2,1
96.26,95.91,2937,7.78,1,0
80.29,100.0,5191,5.83,0,1
111.27,100.0,1569,5.33,0,1
70.28,100.0,18887,5.65,0,1
81.8,98.91,6180,6.33,2,0
65.99,98.33,15143,5.86,2,0
69.28,98.85,1127,7.86,2,0
69.88,99.28,1084,10.5,1,1
93.54,100.0,13129,7.37,0,1
78.12,95.6,5875,3.58,0,1
75.21,98.79,19530,6.73,2,1
76.4,99.35,1112,4.72,0,0
68.39,97.73,17385,6.45,2,1
92.26,98.51,8400,6.11,1,0
54.85,98.1,11521,4.95,2,1
75.21,98.94,2456,7.28,2,1
69.19,99.64,4616,7.08,2,0
50.91,95.44,16666,6.92,2,1
79.71,97.98,1455,6.85,1,0
61.33,100.0,2609,8.57,1,1
80.42,97.78,12420,5.61,1,1
76.66,96.29,12189,5.58,0,0
83.1,96.92,1432,7.15,0,1
59.39,99.34,5331,6.45,2,0
104.76,100.0,4877,4.43,2,0
57.91,97.04,3744,8.16,2,0
65.62,98.71,5373,7.71,0,1
82.72,97.24,2424,8.42,0,0
76.77,99.58,5308,7.32,1,1
87.7,98.01,8099,9.33,0,1
52.12,99.56,1264,5.92,0,1
101.69,97.77,3127,5.68,0,0
70.46,98.01,4452,5.43,0,1
102.02,95.67,5564,7.7,1,0
67.62,98.43,14280,5.8,1,1
55.32,95.12,5727,5.5,1,1
103.35,98.45,10497,5.91,2,1
103.55,99.04,2040,8.63,1,0
90.32,97.19,5262,4.14,2,0
86.32,97.03,3325,2.88,0,1
79.36,97.8,3656,4.71,2,0
40.0,95.42,2509,4.63,1,1
91.79,99.55,2806,6.8,1,1
83.32,98.33,3942,8.6,0,1
55.24,98.99,17415,9.56,0,0
69.6,96.86,6978,4.96,0,0
76.98,96.72,6252,8.31,0,0
49.52,98.01,11460,6.68,1,1
56.8,97.08,12576,7.56,2,0
75.99,96.58,7758,7.19,0,1
90.88,98.39,3787,5.4,2,0
102.58,96.0,5863,3.51,0,1
68.12,98.65,1507,5.98,2,0
80.28,94.86,6740,5.35,0,0
45.5,98.61,5055,6.08,1,1
65.89,97.85,11419,7.94,1,1
83.64,98.64,16298,8.65,2,1
81.78,95.95,8218,4.72,0,0
75.21,98.11,20976,5.92,0,1
83.4,95.74,17497,5.34,2,1
79.96,97.18,12588,6.69,2,0
75.21,96.03,2037,7.85,1,0
61.14,97.89,1123,5.23,2,1
95.33,96.38,18314,9.78,2,0
63.16,99.85,5311,6.96,2,1
54.12,98.43,1515,8.07,0,1
67.83,97.56,7182,6.57,2,1
83.04,96.05,6580,6.81,0,1
78.9,98.71,2913,5.15,0,1
76.74,98.97,4650,8.13,2,1
61.75,96.03,1878,7.46,0,0
58.7,99.73,7913,5.68,1,1
89.25,100.0,3791,6.48,0,1
83.25,100.0,21080,5.05,1,0
72.42,98.01,4871,5.58,0,1
93.38,97.86,8560,6.09,1,0
75.21,100.0,1535,6.5,1,0
66.05,96.75,16289,5.2,1,1
66.79,96.98,6257,7.64,1,0
70.01,98.65,4759,6.45,2,1
73.48,98.63,5154,7.87,0,1
88.72,97.92,1886,7.56,1,0
55.44,96.59,17067,2.75,2,0
65.93,96.91,1687,5.0,2,1
78.14,97.95,1203,4.27,1,1
83.37,94.83,18619,3.84,2,1
49.43,99.0,2084,8.22,0,1
63.14,98.52,13888,9.04,0,1
68.44,94.57,2051,5.96,1,1
82.54,98.74,9960,8.25,1,1
40.64,99.8,6372,6.92,0,0
84.8,98.79,2051,5.72,1,0
67.36,99.21,15507,7.34,1,0
89.57,98.79,16799,6.79,0,0
95.17,97.89,4027,7.54,0,1
65.07,98.01,18046,9.18,0,0
69.69,99.21,6439,6.73,1,1
65.0,100.0,6520,5.09,1,1
53.47,99.98,6143,3.12,0,1
74.53,95.66,4475,8.43,1,0
65.1,96.67,2061,8.18,0,1
76.47,94.32,6645,5.56,0,0
100.63,94.89,8875,6.37,0,0
73.42,94.39,17383,6.81,1,1
70.92,97.52,2057,8.98,1,1
76.93,100.0,10494,4.55,1,1
72.52,98.71,10446,7.51,0,0
66.56,99.39,1668,6.83,0,1
50.15,98.11,1429,5.73,0,0
84.51,98.29,3202,7.71,0,0
96.94,97.67,9174,6.38,1,1
75.21,98.25,7756,6.97,0,0
67.25,97.19,13699,5.81,1,1
67.93,95.56,3935,7.48,2,1
77.25,97.74,7088,5.9,0,0
87.41,95.25,5364,4.14,2,1
85.01,94.95,8437,8.4,0,0
78.5,100.0,17060,7.01,1,0
47.94,97.21,3973,6.45,2,1
56.84,95.0,4066,5.47,1,1
54.67,98.94,1278,7.02,1,1
69.32,97.33,16538,5.17,1,0
75.21,96.11,7302,3.52,1,1
57.13,100.0,1391,5.43,0,0
72.41,97.72,5743,6.09,1,0
85.26,99.13,2784,7.42,2,1
60.02,98.87,1114,6.17,0,1
62.72,100.0,1405,4.78,1,0
92.71,97.6,5735,5.51,2,1
61.09,96.0,5816,6.53,1,0
80.13,96.64,10922,7.47,0,0
93.59,99.98,1994,7.72,1,0
57.28,98.5,17324,4.46,2,1
58.4,97.06,5117,6.58,0,0
71.53,98.69,1598,7.66,2,1
75.21,100.0,3732,5.19,0,1
65.38,100.0,17980,9.2,0,0
104.57,98.74,4552,5.76,2,0
83.08,100.0,14540,8.03,1,0
62.94,95.16,1219,7.54,1,1
54.51,99.24,17170,5.47,2,0
74.05,97.64,3942,6.52,2,1
81.58,95.7,19256,8.55,2,0
102.61,96.14,14073,5.69,1,0
76.14,96.37,7550,6.77,0,1
71.36,98.59,7821,4.24,1,1
60.35,95.79,1663,7.04,0,0
80.56,99.42,6463,5.89,2,0
90.25,99.93,5581,7.29,0,1
48.19,97.76,2846,5.23,1,1
76.12,97.59,4931,6.98,0,1
88.31,93.82,2841,8.39,1,1
70.24,99.15,6167,8.49,1,0
58.12,98.43,5589,7.33,0,1
66.89,99.51,16346,6.01,0,0
66.51,98.78,5783,5.56,1,0
57.24,96.44,2701,9.06,2,0
92.92,99.22,5149,6.64,2,0
43.04,96.1,3783,4.59,2,1
101.77,96.97,15685,7.26,2,0
68.31,98.06,9218,3.97,1,1
69.48,100.0,3212,6.45,0,0
77.77,97.39,3639,5.62,1,0
76.02,99.11,3097,8.5,2,1
70.49,94.57,13103,4.78,2,1
108.59,98.9,14171,7.4,0,1
72.99,99.02,2896,5.22,0,1
48.55,98.3,2483,6.06,1,0
59.85,95.77,7294,6.64,0,0
85.55,100.0,1607,5.5,0,1
64.16,99.13,4627,7.45,1,0
75.21,100.0,1066,7.63,0,1
95.93,99.87,2544,8.04,1,1
77.55,98.29,2471,8.64,2,0
40.0,99.81,2321,4.66,2,0
84.31,96.95,16013,4.8,1,1
58.58,99.18,3548,8.51,1,1
69.4,98.36,2515,5.62,0,1
79.48,96.23,3036,9.03,1,1
93.84,97.66,2158,6.25,0,0
78.88,100.0,3376,7.01,0,1
64.39,99.29,1067,6.45,0,0
94.47,100.0,2297,8.39,2,0
77.7,96.86,2951,8.56,2,1
86.26,94.88,1630,6.52,1,0
80.53,97.66,2994,6.02,0,0
113.81,99.38,7218,4.78,2,0
79.4,98.01,3842,8.06,1,1
79.46,97.96,5314,7.4,1,1
75.21,95.18,3692,6.74,2,0
81.67,98.71,5696,7.92,1,0
78.85,98.79,2049,5.07,0,1
64.91,94.62,19922,8.8,0,0
83.24,100.0,1129,7.8,1,1
54.03,97.1,7442,5.53,2,1
58.05,99.3,2024,4.64,0,0
57.38,99.27,4113,7.44,2,1
67.08,95.71,9156,6.23,2,0
62.29,97.9,5357,2.76,1,0
80.74,96.26,18236,4.19,2,1
70.14,99.11,11081,6.67,1,0
61.1,100.0,15146,6.78,2,1
90.1,96.7,4514,7.38,0,0
77.34,100.0,14995,8.85,1,1
69.08,99.63,4977,6.36,2,1
91.94,97.62,5205,6.31,0,1
83.36,96.1,3241,7.02,0,1
58.87,99.04,7997,5.17,1,1
80.46,100.0,6243,5.46,0,1
80.44,99.24,6666,3.44,2,1
90.11,96.84,3573,9.93,0,1
83.78,100.0,9411,7.75,1,1
68.38,96.7,9066,8.04,0,0
71.85,100.0,9185,5.29,1,1
71.22,99.31,5078,6.6,0,0
51.02,98.82,2138,6.59,1,0
94.3,97.03,5127,5.83,2,1
79.03,96.37,2349,8.31,1,1
70.03,98.37,3828,6.63,0,0
71.42,99.1,7829,9.02,0,1
85.16,94.14,1451,4.94,1,1
63.3,95.42,1205,5.79,1,0
81.85,96.18,6551,6.43,1,0
81.99,94.99,7966,8.15,1,0
95.51,100.0,1114,7.01,0,0
105.37,96.76,16190,8.64,1,1
71.07,99.11,7816,7.25,0,1
77.87,95.7,17770,3.81,0,1
78.78,100.0,7649,4.98,1,0
101.23,93.95,4045,5.82,1,1
82.3,100.0,6398,8.49,2,1
67.87,98.59,1098,7.31,2,0
40.0,94.33,5009,5.42,0,1
40.86,98.22,3941,6.24,0,1
79.88,94.88,5431,6.23,0,1
55.9,97.34,11283,6.39,0,1
75.81,98.32,12091,5.65,1,0
79.58,96.79,5707,7.9,2,0
83.46,100.0,2985,6.33,2,1
77.64,94.93,2577,8.19,1,1
64.55,96.37,2916,7.22,1,1
69.01,93.35,3493,8.2,0,0
67.35,98.93,7025,8.46,0,0
70.98,99.86,5875,7.83,2,0
103.07,96.05,4338,6.94,1,0
60.61,94.54,5513,7.38,0,1
63.08,97.53,9031,7.93,0,1
53.75,99.07,6368,7.18,1,1
73.21,98.04,8997,6.01,2,1
75.21,99.54,4045,5.35,2,1
65.55,98.44,7705,8.68,2,0
81.59,96.14,7384,5.85,1,1
74.4,99.44,12164,5.84,2,0
74.53,99.72,8697,5.87,0,1
82.68,97.36,9677,5.46,2,1
47.12,98.4,5693,5.41,0,0
93.05,100.0,4638,3.91,0,1
46.55,98.42,4296,4.17,2,1
92.04,97.59,3483,6.21,0,1
81.51,95.99,2164,7.18,0,1
99.22,98.19,7783,6.77,0,0
92.75,96.75,16185,8.42,1,0
87.21,99.2,18663,5.79,0,1
70.58,97.16,6081,5.02,1,1
87.62,98.46,14764,7.28,1,1
81.79,94.84,9641,5.66,0,0
79.52,98.38,2026,7.93,0,0
74.15,97.26,11391,7.2,2,1
68.88,99.43,4470,9.1,2,1
54.15,98.01,15299,3.98,1,1
84.65,98.83,1991,4.38,1,1
72.27,100.0,11297,5.87,2,1
71.3,97.58,8711,4.49,2,0
76.39,100.0,5800,6.85,0,0
54.55,98.62,8800,6.01,1,1
68.48,94.78,1190,8.83,1,1
86.89,99.56,5313,6.94,0,0
75.95,94.02,2537,6.19,2,0
73.42,100.0,8340,5.33,2,0
64.1,95.39,5437,7.33,0,0
66.79,100.0,6800,7.28,0,0
86.7,99.75,1037,7.71,0,1
68.07,99.02,5622,8.68,0,1
73.42,99.94,1399,5.26,2,0
78.71,94.06,4833,9.86,1,1
81.57,96.71,8198,9.2,2,0
74.64,98.81,11616,9.08,0,0
48.44,98.1,1080,6.19,1,1
74.53,97.2,9480,5.43,0,1
73.61,98.01,3158,6.66,2,0
84.63,100.0,5067,6.25,1,0
49.52,98.98,12308,6.57,0,1
67.01,96.13,4220,7.58,1,1
50.6,97.44,12131,6.68,2,0
83.26,98.7,4977,5.49,0,0
56.84,98.3,1217,5.15,0,1
70.7,95.35,7858,8.1,0,0
74.34,98.71,1876,7.24,0,1
74.57,95.76,1019,8.58,2,1
67.91,100.0,6923,8.22,2,1
56.19,97.62,4380,8.01,2,1
101.09,98.13,7073,7.03,0,0
59.49,100.0,4846,6.33,1,1
75.6,95.01,8359,10.47,1,0
84.37,97.04,11315,10.02,1,0
85.24,99.07,14403,7.48,1,1
86.63,93.89,5744,5.23,1,0
51.11,97.72,2266,5.78,0,0
61.24,97.11,4988,5.69,0,1
77.04,100.0,3433,7.72,1,0
93.86,95.94,5271,6.03,1,1
66.8,100.0,12066,9.3,0,1
97.51,97.65,4977,7.47,1,1
94.27,99.1,1240,8.91,1,1
66.41,98.03,1044,9.46,1,0
89.32,96.0,5720,6.85,1,1
80.35,98.25,19351,6.65,1,0
70.1,95.34,3474,5.08,0,1
84.2,97.83,15708,7.98,1,1
66.58,100.0,20746,2.72,0,1
79.55,95.52,4382,4.75,2,1
67.78,99.49,4691,4.91,1,1
87.29,95.4,7077,6.52,2,1
56.03,96.94,3665,5.17,2,1
59.77,94.04,2747,5.19,1,1
94.59,98.6,9414,6.23,2,0
40.0,96.46,6333,6.31,1,1
65.38,94.01,4600,4.77,2,0
67.83,98.82,5005,8.0,2,1
58.11,98.01,6762,10.46,0,1
93.39,99.57,7500,8.69,1,0
90.8,96.56,15769,5.96,0,1
69.31,98.22,11858,7.12,1,0
48.14,100.0,1061,6.5,0,1
79.59,98.29,11073,6.29,0,0
77.73,96.33,7895,6.66,0,0
64.99,98.7,12323,6.92,0,0
45.67,97.24,12976,3.88,1,0
70.93,97.93,2967,5.57,1,1
86.5,99.49,2138,6.44,1,1
88.76,96.92,5630,10.08,1,0
65.65,97.65,3012,8.15,0,0
75.21,100.0,2590,6.93,2,1
73.67,97.33,10601,7.74,1,1
55.23,99.77,7033,5.79,2,0
68.44,97.68,5415,9.24,1,0
111.51,99.51,2590,5.78,2,0
64.67,100.0,13838,5.08,0,0
99.3,100.0,2887,6.74,0,0
92.86,94.41,2437,5.48,0,1
68.31,96.13,2649,6.23,1,0
68.76,97.89,8873,6.88,0,1
61.34,96.94,1300,4.51,0,1
86.98,100.0,2667,4.44,1,0
72.55,95.77,13205,6.61,2,1
99.52,100.0,9031,4.91,2,1
83.92,99.09,4027,6.03,2,1
90.04,98.59,3935,5.66,2,1
50.34,95.77,1273,6.51,1,0
60.09,100.0,3396,6.79,2,1
92.76,97.54,16612,3.28,0,1
75.21,98.27,1044,8.5,2,1
59.41,98.68,10138,6.61,0,1
67.0,98.89,2614,7.83,0,0
113.06,96.63,13138,4.95,0,1
83.99,97.99,4121,6.03,1,1
61.16,99.36,8490,4.68,0,1
99.22,97.19,8051,8.29,1,0
74.91,97.01,11965,7.08,0,1
63.48,99.52,11452,6.22,2,0
75.66,96.23,4044,4.59,0,1
65.81,96.74,16414,5.81,0,1
71.13,98.05,5989,6.85,0,0
54.17,98.87,4977,5.64,0,0
88.13,100.0,1680,5.82,0,0
57.76,98.33,1652,4.82,2,1
84.12,98.18,9827,5.38,0,1
78.34,94.93,7895,6.91,1,0
75.21,98.16,1889,6.57,0,1
77.94,100.0,3571,6.64,1,0
81.49,99.57,2092,5.96,2,0
49.06,99.47,1596,6.05,1,1
80.86,98.87,1866,6.73,0,1
53.51,97.93,1214,9.25,1,0
60.28,98.21,8355,6.22,2,0
69.78,97.26,6451,5.61,2,0
40.58,100.0,9593,6.13,0,0
85.62,97.01,7422,5.76,1,0
67.67,95.87,1766,6.45,2,1
79.33,95.04,4864,5.62,2,1
59.07,93.69,1360,7.53,1,1
105.26,98.01,2046,7.51,1,0
67.52,95.39,9131,8.17,1,0
92.99,97.47,10690,5.95,1,1
76.37,97.8,3370,9.45,0,1
75.21,98.27,4977,3.11,2,0
52.4,100.0,1134,5.99,0,0
64.97,99.65,13212,4.36,0,1
77.85,98.22,1052,7.1,1,1
81.8,96.03,7083,5.06,2,1
62.67,96.91,5639,8.2,2,1
102.61,98.06,13247,6.85,2,0
82.21,99.44,2615,8.77,0,0
86.65,98.68,2339,6.65,1,0
85.77,96.76,13114,8.24,1,1
51.55,98.8,1751,4.87,2,0
73.28,100.0,9594,7.98,2,0
74.76,98.58,1484,6.3,0,1
71.18,99.23,14595,6.86,2,0
78.11,97.31,12787,7.89,0,1
75.21,97.62,10840,7.08,0,1
76.92,94.63,4733,5.31,0,0
81.34,94.95,4269,7.57,0,1
47.31,98.14,2115,6.14,0,1
75.21,94.92,9685,8.25,2,1
69.11,100.0,2239,5.88,1,1
76.09,98.78,2701,7.56,1,0
48.63,100.0,1994,7.26,2,0
68.88,96.07,6456,4.68,2,0
86.83,98.29,7645,5.87,1,1
74.97,97.94,2798,7.22,0,1
57.97,97.59,4027,6.45,1,1
75.21,96.53,1562,6.92,2,0
67.2,96.04,4076,4.15,0,1
80.16,98.13,1254,5.59,1,0
59.44,96.57,1093,6.91,2,1
72.35,96.95,3695,7.05,0,0
68.56,100.0,7753,6.74,2,1
88.98,98.96,1947,7.32,1,0
81.94,99.62,14610,8.39,0,0
64.86,100.0,3150,6.58,2,0
66.35,100.0,19031,6.39,0,0
74.56,97.98,4746,7.39,0,1
72.58,98.55,9081,9.48,2,1
70.81,96.97,13234,7.4,0,1
69.72,98.01,5280,8.06,1,1
95.69,95.02,13294,4.14,1,1
75.21,95.97,3323,6.23,2,1
79.5,96.95,3161,4.68,0,0
111.34,98.4,11061,6.52,2,0
62.3,95.72,1932,8.64,0,0
77.89,96.06,8837,4.56,2,0
74.83,96.63,7067,6.49,0,1
75.62,98.12,19920,7.84,2,0
61.82,98.1,4267,8.04,1,1
80.38,97.36,3764,9.49,2,0
47.44,97.5,5443,7.37,0,1
101.97,98.01,8899,5.19,0,1
100.7,100.0,3111,8.02,0,0
90.78,97.72,4881,5.14,2,1
70.6,95.41,3804,5.63,2,1
75.15,98.94,5325,3.34,2,1
64.79,97.87,8794,9.03,2,1
66.28,95.64,4926,7.18,0,1
86.78,98.7,2045,7.97,0,0
74.74,98.01,2956,7.8,0,1
52.63,100.0,3223,8.39,0,0
