User ID,Heart Rate (BPM),Blood Oxygen Level (%),Step Count,Sleep Duration (hours),Activity Level,Stress Level
3799,73.53,95.53,1411,6.94,sedentary,5
3191,73.82,96.66,2131,6.27,sedentary,5
1608,94.06,97.52,6863,7.49,active,1
4272,92.38,98.23,6655,3.23,active,10
2147,90.47,100.0,5663,4.38,sedentary,7
1186,68.96,96.82,10231,7.5,sedentary,9
4397,65.12,100.0,11798,6.54,active,10
3511,99.55,99.14,2265,3.49,highly active,10
4420,84.15,94.98,1200,5.55,active,2
1659,73.4,100.0,2312,5.77,active,8
3811,76.27,97.81,20661,7.9,active,3
4002,73.42,96.73,1032,8.38,highly active,3
2955,70.62,97.07,14769,3.14,highly active,2
3450,93.46,99.18,1591,6.32,highly active,7
2986,108.8,100.0,941,4.28,active,4
2534,94.28,100.0,763,8.38,sedentary,4
1146,77.04,99.61,699,7.06,highly active,6
4219,96.26,95.91,2937,7.78,active,4
3911,80.29,100.0,5191,5.83,sedentary,7
2734,111.27,100.0,1569,5.33,sedentary,6
2843,70.28,100.0,18887,5.65,sedentary,9
1488,81.8,98.91,6180,6.33,highly active,5
3976,65.99,98.33,15143,5.86,highly active,4
2959,69.28,98.85,1127,7.86,highly active,3
2663,69.88,99.28,1084,10.5,active,10
3598,93.54,100.0,13129,7.37,sedentary,8
3385,78.12,95.6,5875,3.58,sedentary,8
3919,75.21,98.79,19530,6.73,highly active,10
1640,76.4,99.35,1112,4.72,sedentary,3
2802,60.39,100.0,184,5.89,highly active,10
3520,68.39,97.73,17385,6.45,highly active,9
2969,92.26,98.51,8400,6.11,active,1
3198,54.85,98.1,11521,4.95,highly active,9
2438,75.21,98.94,2456,7.28,highly active,7
4369,50.09,97.21,21,3.51,sedentary,4
2634,69.19,99.64,4616,7.08,highly active,2
2787,50.91,95.44,16666,6.92,highly active,7
3191,71.55,96.0,523,4.48,sedentary,1
3393,79.71,97.98,1455,6.85,active,4
1623,61.33,100.0,2609,8.57,active,7
2016,80.42,97.78,12420,5.61,active,9
4643,76.66,96.29,12189,5.58,sedentary,4
1880,83.1,96.92,1432,7.15,sedentary,7
3049,59.39,99.34,5331,6.45,highly active,4
3944,104.76,100.0,4877,4.43,highly active,2
2327,57.91,97.04,3744,8.16,highly active,2
3301,65.62,98.71,5373,7.71,sedentary,7
4723,82.72,97.24,2424,8.42,sedentary,4
1452,76.77,99.58,5308,7.32,active,6
4108,87.7,98.01,8099,9.33,sedentary,6
2183,70.35,99.87,451,3.69,highly active,2
3056,52.12,99.56,1264,5.92,sedentary,10
4304,101.69,97.77,3127,5.68,sedentary,4
4170,70.46,98.01,4452,5.43,sedentary,9
2682,72.49,98.03,292,7.26,active,8
3863,102.02,95.67,5564,7.7,active,4
3255,67.62,98.43,14280,5.8,active,8
3199,55.32,95.12,5727,5.5,active,6
3101,103.35,98.45,10497,5.91,highly active,10
4191,103.55,99.04,2040,8.63,active,3
2696,90.32,97.19,5262,4.14,highly active,3
1627,86.32,97.03,3325,2.88,sedentary,8
1586,63.91,98.01,692,4.43,active,9
2648,79.36,97.8,3656,4.71,highly active,2
2445,40.0,95.42,2509,4.63,active,8
1103,91.79,99.55,2806,6.8,active,10
4923,83.32,98.33,3942,8.6,sedentary,6
1253,55.24,98.99,17415,9.56,sedentary,5
4298,69.6,96.86,6978,4.96,sedentary,2
3557,76.98,96.72,6252,8.31,sedentary,4
2496,49.52,98.01,11460,6.68,active,6
1098,56.8,97.08,12576,7.56,highly active,1
2884,75.99,96.58,7758,7.19,sedentary,9
3961,90.88,98.39,3787,5.4,highly active,2
2919,102.58,96.0,5863,3.51,sedentary,6
1877,68.12,98.65,1507,5.98,highly active,2
1337,80.28,94.86,6740,5.35,sedentary,4
4777,45.5,98.61,5055,6.08,active,9
3869,65.89,97.85,11419,7.94,active,10
4234,83.64,98.64,16298,8.65,highly active,6
4791,72.12,98.65,997,6.73,highly active,8
1956,81.78,95.95,8218,4.72,sedentary,2
2704,75.21,98.11,20976,5.92,sedentary,8
1160,83.4,95.74,17497,5.34,highly active,6
2603,79.96,97.18,12588,6.69,highly active,1
3848,77.86,99.88,346,5.8,active,8
1397,75.21,96.03,2037,7.85,active,4
2300,61.14,97.89,1123,5.23,highly active,8
1815,95.33,96.38,18314,9.78,highly active,5
2527,63.16,99.85,5311,6.96,highly active,7
2415,54.12,98.43,1515,8.07,sedentary,6
2158,67.83,97.56,7182,6.57,highly active,6
2218,83.04,96.05,6580,6.81,sedentary,6
1400,78.9,98.71,2913,5.15,sedentary,9
1639,76.74,98.97,4650,8.13,highly active,10
4104,61.75,96.03,1878,7.46,sedentary,5
3735,58.7,99.73,7913,5.68,active,7
1459,89.25,100.0,3791,6.48,sedentary,7
1954,100.4,96.22,166,5.16,highly active,3
4954,83.25,100.0,21080,5.05,active,2
1469,72.42,98.01,4871,5.58,sedentary,7
4446,93.38,97.86,8560,6.09,active,5
2045,75.21,100.0,1535,6.5,active,5
3797,90.8,99.68,952,6.43,sedentary,2
2693,66.05,96.75,16289,5.2,active,8
3085,66.79,96.98,6257,7.64,active,4
3277,70.01,98.65,4759,6.45,highly active,6
4436,73.48,98.63,5154,7.87,sedentary,10
1562,88.72,97.92,1886,7.56,active,2
3485,55.44,96.59,17067,2.75,highly active,3
2799,65.93,96.91,1687,5.0,highly active,10
4354,78.14,97.95,1203,4.27,active,6
3074,83.37,94.83,18619,3.84,highly active,8
1225,49.43,99.0,2084,8.22,sedentary,6
4348,63.14,98.52,13888,9.04,sedentary,9
3331,68.44,94.57,2051,5.96,active,7
3926,82.54,98.74,9960,8.25,active,9
1959,40.64,99.8,6372,6.92,sedentary,5
2504,84.8,98.79,2051,5.72,active,3
1452,67.36,99.21,15507,7.34,active,3
4900,89.57,98.79,16799,6.79,sedentary,4
1815,95.17,97.89,4027,7.54,sedentary,10
4587,65.07,98.01,18046,9.18,sedentary,2
1546,69.69,99.21,6439,6.73,active,6
2215,65.0,100.0,6520,5.09,active,9
4120,53.47,99.98,6143,3.12,sedentary,10
4583,74.53,95.66,4475,8.43,active,1
1441,65.1,96.67,2061,8.18,sedentary,8
4243,76.47,94.32,6645,5.56,sedentary,4
2243,100.63,94.89,8875,6.37,sedentary,4
3205,73.42,94.39,17383,6.81,active,8
3524,63.66,93.48,524,7.39,highly active,9
2069,70.92,97.52,2057,8.98,active,9
4444,76.93,100.0,10494,4.55,active,6
3565,72.52,98.71,10446,7.51,sedentary,5
3146,66.56,99.39,1668,6.83,sedentary,7
4963,50.15,98.11,1429,5.73,sedentary,2
2768,84.51,98.29,3202,7.71,sedentary,1
3327,96.94,97.67,9174,6.38,active,9
4420,75.21,98.25,7756,6.97,sedentary,4
3544,67.25,97.19,13699,5.81,active,10
1301,67.93,95.56,3935,7.48,highly active,7
1180,77.25,97.74,7088,5.9,sedentary,2
1699,84.34,98.98,516,5.49,active,4
1992,59.73,100.0,13,6.96,sedentary,6
1190,87.41,95.25,5364,4.14,highly active,9
3300,85.01,94.95,8437,8.4,sedentary,1
1980,78.5,100.0,17060,7.01,active,3
3975,47.94,97.21,3973,6.45,highly active,6
3006,56.84,95.0,4066,5.47,active,9
2184,54.67,98.94,1278,7.02,active,9
4662,69.32,97.33,16538,5.17,active,5
4394,75.21,96.11,7302,3.52,active,9
1127,57.13,100.0,1391,5.43,sedentary,2
3065,72.41,97.72,5743,6.09,active,5
2816,85.26,99.13,2784,7.42,highly active,8
2758,60.02,98.87,1114,6.17,sedentary,8
3613,62.72,100.0,1405,4.78,active,5
1569,92.71,97.6,5735,5.51,highly active,8
2346,61.09,96.0,5816,6.53,active,5
2895,80.13,96.64,10922,7.47,sedentary,5
3733,93.59,99.98,1994,7.72,active,2
4863,57.28,98.5,17324,4.46,highly active,8
1625,58.4,97.06,5117,6.58,sedentary,3
4359,71.53,98.69,1598,7.66,highly active,9
3901,75.21,100.0,3732,5.19,sedentary,9
2686,65.38,100.0,17980,9.2,sedentary,3
4009,104.57,98.74,4552,5.76,highly active,1
4710,83.08,100.0,14540,8.03,active,1
1154,62.94,95.16,1219,7.54,active,9
3537,54.51,99.24,17170,5.47,highly active,1
2409,74.05,97.64,3942,6.52,highly active,8
1784,81.58,95.7,19256,8.55,highly active,3
4175,102.61,96.14,14073,5.69,active,3
4464,76.14,96.37,7550,6.77,sedentary,10
4882,71.36,98.59,7821,4.24,active,9
1245,60.35,95.79,1663,7.04,sedentary,5
4247,80.56,99.42,6463,5.89,highly active,5
4110,90.25,99.93,5581,7.29,sedentary,6
2500,48.19,97.76,2846,5.23,active,10
2705,76.12,97.59,4931,6.98,sedentary,8
1537,54.64,97.01,37,2.54,highly active,2
2841,88.31,93.82,2841,8.39,active,8
1524,70.24,99.15,6167,8.49,active,1
3875,58.12,98.43,5589,7.33,sedentary,8
2529,66.89,99.51,16346,6.01,sedentary,1
3950,86.76,98.32,45,6.94,highly active,1
4896,66.51,98.78,5783,5.56,active,2
1019,57.24,96.44,2701,9.06,highly active,1
3368,92.92,99.22,5149,6.64,highly active,4
4847,43.04,96.1,3783,4.59,highly active,6
3559,101.77,96.97,15685,7.26,highly active,2
3701,77.74,98.01,495,8.45,highly active,9
1971,68.31,98.06,9218,3.97,active,9
2906,69.48,100.0,3212,6.45,sedentary,2
2166,77.77,97.39,3639,5.62,active,5
4636,76.02,99.11,3097,8.5,highly active,10
2823,70.49,94.57,13103,4.78,highly active,9
3774,108.59,98.9,14171,7.4,sedentary,9
2982,72.99,99.02,2896,5.22,sedentary,9
1853,48.55,98.3,2483,6.06,active,3
1050,59.85,95.77,7294,6.64,sedentary,3
4736,85.55,100.0,1607,5.5,sedentary,10
4769,64.16,99.13,4627,7.45,active,4
1574,75.21,100.0,1066,7.63,sedentary,9
4261,95.93,99.87,2544,8.04,active,7
2148,77.55,98.29,2471,8.64,highly active,1
3361,40.0,99.81,2321,4.66,highly active,5
3617,84.31,96.95,16013,4.8,active,10
3352,94.51,98.35,591,8.92,sedentary,10
2715,58.58,99.18,3548,8.51,active,9
1681,69.4,98.36,2515,5.62,sedentary,6
1837,79.48,96.23,3036,9.03,active,8
4854,93.84,97.66,2158,6.25,sedentary,2
2077,78.88,100.0,3376,7.01,sedentary,8
4050,64.39,99.29,1067,6.45,sedentary,1
3491,94.47,100.0,2297,8.39,highly active,4
4040,77.7,96.86,2951,8.56,highly active,8
3311,86.26,94.88,1630,6.52,active,2
4124,98.45,99.69,803,6.2,highly active,9
2595,80.53,97.66,2994,6.02,sedentary,1
4051,113.81,99.38,7218,4.78,highly active,4
1004,79.4,98.01,3842,8.06,active,8
1773,79.46,97.96,5314,7.4,active,10
1876,75.21,95.18,3692,6.74,highly active,3
1991,81.67,98.71,5696,7.92,active,4
4421,78.85,98.79,2049,5.07,sedentary,7
1046,64.91,94.62,19922,8.8,sedentary,4
3914,83.24,100.0,1129,7.8,active,9
3870,66.61,98.26,824,5.19,active,5
3983,54.03,97.1,7442,5.53,highly active,9
4891,58.05,99.3,2024,4.64,sedentary,1
3703,57.38,99.27,4113,7.44,highly active,6
1268,67.08,95.71,9156,6.23,highly active,2
1369,62.29,97.9,5357,2.76,active,4
1635,74.67,96.8,96,5.67,highly active,6
2693,82.74,99.05,468,6.66,sedentary,9
2682,80.74,96.26,18236,4.19,highly active,7
1656,70.14,99.11,11081,6.67,active,5
1830,61.1,100.0,15146,6.78,highly active,10
2810,90.1,96.7,4514,7.38,sedentary,3
4675,77.34,100.0,14995,8.85,active,7
2081,69.08,99.63,4977,6.36,highly active,7
2974,91.94,97.62,5205,6.31,sedentary,7
2369,83.36,96.1,3241,7.02,sedentary,6
1740,58.87,99.04,7997,5.17,active,10
4545,80.46,100.0,6243,5.46,sedentary,9
2632,80.44,99.24,6666,3.44,highly active,9
2853,90.11,96.84,3573,9.93,sedentary,6
3838,83.78,100.0,9411,7.75,active,9
2150,84.85,98.58,593,5.08,active,8
4464,68.38,96.7,9066,8.04,sedentary,3
2931,71.85,100.0,9185,5.29,active,7
2012,71.22,99.31,5078,6.6,sedentary,2
2664,51.02,98.82,2138,6.59,active,5
2081,94.3,97.03,5127,5.83,highly active,7
1633,58.21,97.93,919,5.28,sedentary,6
1512,79.03,96.37,2349,8.31,active,6
4822,70.03,98.37,3828,6.63,sedentary,2
3849,71.42,99.1,7829,9.02,sedentary,9
2119,85.16,94.14,1451,4.94,active,10
4709,63.3,95.42,1205,5.79,active,3
2141,81.85,96.18,6551,6.43,active,2
1559,81.99,94.99,7966,8.15,active,1
4672,63.37,96.35,611,5.32,active,5
1487,88.67,100.0,236,7.36,sedentary,1
4308,95.51,100.0,1114,7.01,sedentary,4
4956,105.37,96.76,16190,8.64,active,8
1896,71.07,99.11,7816,7.25,sedentary,9
4343,77.87,95.7,17770,3.81,sedentary,6
2212,78.78,100.0,7649,4.98,active,3
2470,101.23,93.95,4045,5.82,active,9
1580,82.3,100.0,6398,8.49,highly active,9
3908,58.58,100.0,22,6.55,active,1
3294,105.73,99.84,194,6.16,highly active,7
4147,67.87,98.59,1098,7.31,highly active,5
1153,40.0,94.33,5009,5.42,sedentary,9
2679,40.86,98.22,3941,6.24,sedentary,6
4506,79.88,94.88,5431,6.23,sedentary,8
1996,55.9,97.34,11283,6.39,sedentary,7
4157,75.81,98.32,12091,5.65,active,1
4356,79.58,96.79,5707,7.9,highly active,3
2243,83.46,100.0,2985,6.33,highly active,8
2092,77.64,94.93,2577,8.19,active,10
4118,64.55,96.37,2916,7.22,active,6
3141,69.01,93.35,3493,8.2,sedentary,5
2773,72.17,95.64,544,10.4,sedentary,2
1957,67.35,98.93,7025,8.46,sedentary,3
4059,70.98,99.86,5875,7.83,highly active,1
1452,103.07,96.05,4338,6.94,active,5
2227,74.93,96.94,592,8.39,active,4
3959,55.96,99.01,684,5.38,active,5
3265,60.61,94.54,5513,7.38,sedentary,9
3521,70.86,97.64,260,8.42,sedentary,2
3479,63.08,97.53,9031,7.93,sedentary,7
1550,53.75,99.07,6368,7.18,active,8
